DE,COMUNA,BARRIO,POINT_X,POINT_Y,Escuela_DE,NEAR_FID,NEAR_DIST
18.00000000000,10.00000000000,VERSALLES,94574.27009999999,99999.03990000000,25_18,"17",2932.32368370000
19.00000000000,4.00000000000,NUEVA POMPEYA,103867.08630000000,98424.59140000000,1_19,"16",1180.53550591000
19.00000000000,4.00000000000,NUEVA POMPEYA,103928.93940000000,97179.71100000000,2_19,"16",1561.09677191000
19.00000000000,4.00000000000,NUEVA POMPEYA,103786.96990000000,97830.70220000000,3_19,"16",1121.16928321000
19.00000000000,7.00000000000,FLORES,102511.00780000001,98042.75100000000,4_19,"16",237.41095475600
19.00000000000,4.00000000000,NUEVA POMPEYA,104206.92060000000,96882.70610000000,6_19,"7",1623.19939807000
19.00000000000,8.00000000000,VILLA SOLDATI,103147.91790000000,96650.80510000000,8_19,"13",1397.86112747000
16.00000000000,11.00000000000,VILLA DEVOTO,94863.39760000000,103189.95540000001,7_16,"23",2804.68455849000
16.00000000000,11.00000000000,VILLA DEVOTO,94871.43050000000,103977.93710000000,8_16,"23",2069.99595879000
16.00000000000,12.00000000000,VILLA URQUIZA,96831.49000000001,106453.79859999999,9_16,"23",1230.88903172000
16.00000000000,15.00000000000,AGRONOMIA,96986.38649999999,104073.84610000000,11_16,"23",2156.01386821000
16.00000000000,12.00000000000,VILLA URQUIZA,96372.52099999999,106942.80680000001,12_16,"23",1254.90025423000
16.00000000000,12.00000000000,VILLA PUEYRREDON,96243.48070000000,105914.83550000000,13_16,"23",487.80188038700
16.00000000000,12.00000000000,VILLA URQUIZA,97584.42250000000,105253.79420000000,14_16,"23",1918.19215383000
16.00000000000,11.00000000000,VILLA DEVOTO,95539.44920000000,104784.89070000000,15_16,"23",1085.17532830000
16.00000000000,11.00000000000,VILLA DEVOTO,95942.41730000000,104242.88610000000,16_16,"23",1614.74892002000
16.00000000000,12.00000000000,VILLA URQUIZA,96019.51700000001,106656.82810000000,18_16,"23",849.95719947100
16.00000000000,12.00000000000,VILLA PUEYRREDON,97430.41250000001,104931.80800000000,19_16,"23",1904.53097885000
16.00000000000,12.00000000000,VILLA PUEYRREDON,96323.46850000000,105667.83779999999,22_16,"23",591.01610150000
16.00000000000,12.00000000000,VILLA PUEYRREDON,96571.46380000000,105689.82690000000,23_16,"23",826.24580919100
16.00000000000,12.00000000000,VILLA PUEYRREDON,96107.45239999999,105166.85820000000,24_16,"23",763.88573046000
8.00000000000,7.00000000000,PARQUE CHACABUCO,101940.07300000000,99285.74670000000,7_8,"14",862.23744143000
8.00000000000,6.00000000000,CABALLITO,102659.11120000000,100583.68710000000,8_8,"1",2257.60540716000
8.00000000000,6.00000000000,CABALLITO,103243.10460000001,100743.65889999999,9_8,"1",1865.65269242000
8.00000000000,7.00000000000,PARQUE CHACABUCO,102484.04850000000,98996.73050000001,10_8,"14",774.25875167600
8.00000000000,6.00000000000,CABALLITO,103035.11050000000,100770.66700000000,11_8,"1",1916.26465371000
8.00000000000,6.00000000000,CABALLITO,102022.11300000000,100283.72060000000,14_8,"14",1860.83210723000
8.00000000000,7.00000000000,PARQUE CHACABUCO,102432.04710000000,98935.73400000000,15_8,"14",694.14973599900
8.00000000000,5.00000000000,ALMAGRO,103548.13780000000,101698.62440000000,16_8,"1",863.25048342500
17.00000000000,11.00000000000,VILLA DEL PARQUE,97347.24290000000,102767.99890000001,1_17,"29",1307.01937623000
17.00000000000,11.00000000000,VILLA DEL PARQUE,97598.32160000000,102858.84800000000,3_17,"29",1087.19757687000
17.00000000000,11.00000000000,VILLA DEVOTO,95281.35400000001,102376.95620000000,4_17,"17",2615.95596288000
17.00000000000,11.00000000000,VILLA DEL PARQUE,97932.33390000000,103332.82320000000,5_17,"29",1075.47019512000
17.00000000000,11.00000000000,VILLA DEVOTO,94578.34280000000,101732.00040000000,6_17,"17",2951.92882818000
17.00000000000,11.00000000000,VILLA SANTA RITA,98426.27550000000,102209.82799999999,7_17,"29",365.49292305000
17.00000000000,11.00000000000,VILLA DEL PARQUE,96339.36130000000,103122.89490000000,8_17,"29",2369.56815304000
17.00000000000,11.00000000000,VILLA DEVOTO,95723.31299999999,101639.95440000000,9_17,"17",1852.90128611000
17.00000000000,11.00000000000,VILLA DEL PARQUE,97662.30520000000,102501.85340000001,10_17,"29",967.06269774700
21.00000000000,8.00000000000,VILLA LUGANO,99624.08850000000,93707.18070000000,1_21,"20",319.31920905500
12.00000000000,7.00000000000,FLORES,99850.17879999999,100675.80300000000,15_12,"29",2206.49160682000
12.00000000000,10.00000000000,FLORESTA,97472.24930000000,101068.89390000000,16_12,"17",257.54627625100
12.00000000000,11.00000000000,VILLA SANTA RITA,98525.25629999999,101804.83300000000,17_12,"29",716.51000005200
13.00000000000,8.00000000000,VILLA LUGANO,97953.01850000001,95833.99260000000,22_13,"3",959.51253734200
13.00000000000,9.00000000000,PARQUE AVELLANEDA,97509.12420000001,98109.95950000000,24_13,"19",1827.86761294000
14.00000000000,15.00000000000,CHACARITA,100969.29600000000,104070.67890000000,1_14,"8",1230.23512942000
14.00000000000,15.00000000000,VILLA ORTUZAR,100061.36610000000,105248.69030000000,2_14,"22",1706.54059544000
14.00000000000,15.00000000000,VILLA ORTUZAR,99262.36900000001,104887.73209999999,3_14,"22",1718.34959626000
14.00000000000,15.00000000000,VILLA ORTUZAR,99964.34329999999,104654.70780000000,4_14,"8",2027.57230986000
14.00000000000,15.00000000000,PARQUE CHAS,99066.38390000000,105134.73470000000,5_14,"22",1452.87126048000
14.00000000000,15.00000000000,CHACARITA,100826.30050000000,104101.68420000000,8_14,"8",1335.63897454000
14.00000000000,15.00000000000,PATERNAL,99591.28890000000,103155.75750000001,10_14,"29",1156.54964359000
14.00000000000,15.00000000000,VILLA CRESPO,100623.17170000001,103272.04979999999,11_14,"8",2018.87513639000
21.00000000000,8.00000000000,VILLA LUGANO,99181.94550000000,94759.96530000000,3_21,"15",491.12212070000
21.00000000000,8.00000000000,VILLA LUGANO,99450.96070000000,95266.94250000000,4_21,"15",234.85911045400
21.00000000000,8.00000000000,VILLA LUGANO,99787.91490000000,94359.94890000000,5_21,"20",514.75027000700
21.00000000000,8.00000000000,VILLA LUGANO,99962.89990000000,94097.52200000000,6_21,"20",245.67701980900
8.00000000000,5.00000000000,BOEDO,103379.07870000000,100200.66550000000,6_8,"26",1566.52458731000
8.00000000000,7.00000000000,PARQUE CHACABUCO,102697.07550000001,99754.70430000000,17_8,"14",1519.79586259000
8.00000000000,5.00000000000,BOEDO,103734.01470000000,98867.68090000001,20_8,"16",1238.39666619000
8.00000000000,7.00000000000,PARQUE CHACABUCO,103002.03449999999,98943.70990000000,21_8,"16",831.93924026800
8.00000000000,7.00000000000,PARQUE CHACABUCO,102652.07290000000,99667.70819999999,22_8,"14",1421.88599914000
8.00000000000,7.00000000000,PARQUE CHACABUCO,102511.04399999999,98903.73140000000,23_8,"14",728.29484463500
8.00000000000,7.00000000000,PARQUE CHACABUCO,103481.03170000001,99135.68540000000,24_8,"16",1237.89056298000
9.00000000000,14.00000000000,PALERMO,103079.27619999999,104739.57510000000,1_9,"8",1090.18640616000
9.00000000000,15.00000000000,VILLA CRESPO,102267.25300000000,103749.63170000000,2_9,"8",1046.51458829000
3.00000000000,1.00000000000,SAN TELMO,107932.71769999999,101293.07670000001,1_3,"11",533.45260660300
3.00000000000,1.00000000000,MONTSERRAT,107725.03879999999,101599.45120000000,3_3,"11",896.95151394400
3.00000000000,1.00000000000,MONTSERRAT,107902.03930000000,101706.44140000000,4_3,"11",880.02054804500
3.00000000000,1.00000000000,CONSTITUCION,106883.02820000000,100891.50270000000,5_3,"11",1448.45847889000
3.00000000000,1.00000000000,CONSTITUCION,107439.02180000000,101039.47590000000,7_3,"11",897.48754758200
3.00000000000,3.00000000000,BALVANERA,106145.08259999999,101787.51330000001,9_3,"21",2062.84356421000
5.00000000000,4.00000000000,PARQUE PATRICIOS,104997.96679999999,98409.63820000000,19_5,"26",1400.41440127000
5.00000000000,4.00000000000,BARRACAS,107851.89850000000,97690.81849999999,20_5,"27",337.11563710800
5.00000000000,4.00000000000,NUEVA POMPEYA,104404.94259999999,97513.68339999999,23_5,"7",1509.74035618000
5.00000000000,4.00000000000,NUEVA POMPEYA,104908.92920000000,97467.66330000000,24_5,"7",1027.80306943000
5.00000000000,4.00000000000,PARQUE PATRICIOS,106151.94460000000,98506.58749999999,25_5,"28",959.76327574600
10.00000000000,12.00000000000,SAAVEDRA,98988.56090000000,109307.64320000001,13_10,"9",1176.57548545000
10.00000000000,12.00000000000,SAAVEDRA,98650.52129999999,108182.68290000000,14_10,"9",1190.61193265000
10.00000000000,12.00000000000,SAAVEDRA,98759.58450000000,109745.64290000001,15_10,"9",1150.76156627000
10.00000000000,13.00000000000,NUÃ‘EZ,99499.48800000000,107848.65489999999,16_10,"22",1357.19458182000
10.00000000000,13.00000000000,BELGRANO,100604.46890000001,107989.60530000000,17_10,"22",2130.59296055000
10.00000000000,12.00000000000,VILLA URQUIZA,99504.42010000000,106233.69130000001,18_10,"22",614.19288123500
